audio_error,audio_ok,cer_to_gen,clip_rate_0p99,duration,gen_text_for_tts,generated_path,interferer_spk,interferer_text,key,pass_asr,pass_audio,pass_final,peak,rms,sample_rate,silence_rate,status,target_spk,target_text,token_f1_to_gen,wer_to_gen,whisper_text
,True,0.0,0.0,6.08,she was young untried nervous it was a vision of serious duties and little company of really great loneliness.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031__naturalized.wav,121,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,True,True,True,0.5966796875,0.060140661895275116,24000,0.07463678728070175,ok,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1.0,0.0,"She was young, untried, nervous, it was a vision of serious duties, and little company of really great loneliness."
,True,0.0076335877862595,0.0,17.461333333333332,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000__naturalized.wav,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,True,True,True,0.5965576171875,0.038197193294763565,24000,0.12171416844838119,ok,121,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,0.9642857142857144,0.0357142857142857,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be lalled out in thick peppered flour fattened sauce
,True,0.0,0.0,4.085333333333334,i shall be punished for it now i suppose by being drowned in my own tears.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016__naturalized.wav,260,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,True,True,True,0.654327392578125,0.07492746412754059,24000,0.09295447127937337,ok,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1.0,0.0,"I shall be punished for it now, I suppose, by being drowned in my own tears."
,True,0.0076335877862595,0.0,10.72,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000__naturalized.wav,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,True,True,True,0.494598388671875,0.07648709416389465,24000,0.04383939676616915,ok,260,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,0.9642857142857144,0.0357142857142857,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be laddled out in thick-peppered flour fattened sauce
,True,0.0405405405405405,0.0,4.917333333333334,master monceux the sheriff of nottingham was mightily put about when told of the rioting.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047__naturalized.wav,61,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,True,True,True,0.7313232421875,0.06856617331504822,24000,0.05962750813449024,ok,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,0.9333333333333332,0.0666666666666666,"Master Montsiux, the sheriff of Nottingham, was mightily put about when told of the rioting."
,True,0.0,0.0,7.765333333333333,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000__naturalized.wav,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,True,True,True,0.508331298828125,0.04911332577466965,24000,0.047379378434065936,ok,61,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,1.0,0.0,He hoped there would be stew-for-dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour-fattened sauce.
,True,0.0,0.0,9.632,half an hour later turning a deaf ear to all remonstrance he gave the proprietors until five o'clock to remove their families and personal property from the free state hotel.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037__naturalized.wav,7729,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,True,True,True,0.64654541015625,0.07949189841747284,24000,0.04077986572535991,ok,1089,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,1.0,0.0,"Half an hour later, turning a deaf ear to all remonstrance, he gave the proprietors until five o'clock to remove their families and personal property from the Free State Hotel."
,True,0.0,0.0,7.125333333333334,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002__naturalized.wav,1089,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,True,True,True,0.700958251953125,0.10070468485355377,24000,0.09052208083832336,ok,7729,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,1.0,0.0,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels
,True,0.0,0.0,2.6986666666666665,yet that task was not so easy as you may suppose.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027__naturalized.wav,1284,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,True,True,True,0.76007080078125,0.0662839412689209,24000,0.09852087450592885,ok,1089,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,1.0,0.0,Yet that task was not so easy as you may suppose.
,True,0.1020408163265306,0.0,3.392,number ten fresh nelly is waiting on you good night husband.,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004__naturalized.wav,1089,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,True,True,True,0.37554931640625,0.056468889117240906,24000,0.12753046383647798,ok,1284,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,0.6666666666666666,0.3636363636363636,number 10 fresh Nellie is waiting on you goodnight husband
