key,path,status,gen_text,gen_text_for_tts,target_text,interferer_text,target_spk,interferer_spk,pass_audio,sample_rate,duration,rms,peak,silence_rate,clip_rate_0p99,audio_error,whisper_text,wer_to_gen,cer_to_gen,token_f1_to_gen,pass_asr
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031__naturalized.wav,ok,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,she was young untried nervous it was a vision of serious duties and little company of really great loneliness.,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,1089,121,True,24000,6.08,0.060140661895275116,0.5966796875,0.07463678728070175,0.0,,"She was young, untried, nervous, it was a vision of serious duties, and little company of really great loneliness.",0.0,0.0,1.0,True
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016__naturalized.wav,ok,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,i shall be punished for it now i suppose by being drowned in my own tears.,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,1089,260,True,24000,4.085333333333334,0.07492746412754059,0.654327392578125,0.09295447127937337,0.0,,"I shall be punished for it now, I suppose, by being drowned in my own tears.",0.0,0.0,1.0,True
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047__naturalized.wav,ok,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,master monceux the sheriff of nottingham was mightily put about when told of the rioting.,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,1089,61,True,24000,4.917333333333334,0.06856617331504822,0.7313232421875,0.05962750813449024,0.0,,"Master Montsiux, the sheriff of Nottingham, was mightily put about when told of the rioting.",0.06666666666666667,0.04054054054054054,0.9333333333333333,True
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037__naturalized.wav,ok,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,half an hour later turning a deaf ear to all remonstrance he gave the proprietors until five o'clock to remove their families and personal property from the free state hotel.,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,1089,7729,True,24000,9.632,0.07949189841747284,0.64654541015625,0.04077986572535991,0.0,,"Half an hour later, turning a deaf ear to all remonstrance, he gave the proprietors until five o'clock to remove their families and personal property from the Free State Hotel.",0.0,0.0,1.0,True
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027__naturalized.wav,ok,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,yet that task was not so easy as you may suppose.,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,1089,1284,True,24000,2.6986666666666665,0.0662839412689209,0.76007080078125,0.09852087450592885,0.0,,Yet that task was not so easy as you may suppose.,0.0,0.0,1.0,True
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005__naturalized.wav,ok,THE ONLY THING NECESSARY WAS TO FIX SETH REYNOLDS AND THIS HOPKINS ARRANGED PERSONALLY,the only thing necessary was to fix seth reynolds and this hopkins arranged personally.,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,THE ONLY THING NECESSARY WAS TO FIX SETH REYNOLDS AND THIS HOPKINS ARRANGED PERSONALLY,1089,6829,True,24000,4.810666666666667,0.06221785023808479,0.763763427734375,0.06126143292682927,0.0,,The only thing necessary was to fix Seth Reynolds and this Hopkins arranged personally.,0.0,0.0,1.0,True
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016__naturalized.wav,ok,DID MASTER SUMMON ME HE SAID ENTERING,did master summon me he said entering.,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,DID MASTER SUMMON ME HE SAID ENTERING,1089,8463,True,24000,2.0906666666666665,0.047174423933029175,0.4727783203125,0.12250876913265306,0.0,,Did Master summon me? He said entering.,0.0,0.0,1.0,True
1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020__naturalized.wav,ok,DOUBLE NINE TWO THREE ELSINORE DOUBLE NINE YES HALLO IS THAT YOU HORATIO HAMLET SPEAKING,double nine two three elsinore double nine yes hallo is that you horatio hamlet speaking.,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,DOUBLE NINE TWO THREE ELSINORE DOUBLE NINE YES HALLO IS THAT YOU HORATIO HAMLET SPEAKING,1089,7176,True,24000,4.917333333333334,0.07048269361257553,0.58160400390625,0.07721834327548807,0.0,,"Double nine, two, three, Elsinore, double nine, yes, hollow, is that you Horatio Hamlet speaking.",0.06666666666666667,0.02702702702702703,0.9333333333333333,True
1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022__naturalized.wav,ok,I AM AFRAID THERE ARE NO SIGNS HERE SAID HE,i am afraid there are no signs here said he.,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,I AM AFRAID THERE ARE NO SIGNS HERE SAID HE,1089,1580,True,24000,2.421333333333333,0.08908278495073318,0.866851806640625,0.15218887665198239,0.0,,"I am afraid there are no signs here, said he.",0.0,0.0,1.0,True
1089-134686-0006_4446-2271-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0018,/data/tse_cue_project/manifests/librimix_similar_content_v3_tts_enroll_conflict_quality_first_20260609/clean/test/candidate_enrollment/1089-134686-0006_4446-2271-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0018__naturalized.wav,ok,SHE CONSIDERED A MOMENT AND THEN SAID NO I THINK NOT THOUGH I AM GLAD YOU ASK ME,she considered a moment and then said no i think not though i am glad you ask me.,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,SHE CONSIDERED A MOMENT AND THEN SAID NO I THINK NOT THOUGH I AM GLAD YOU ASK ME,1089,4446,True,24000,4.48,0.08459468185901642,0.66253662109375,0.08370535714285714,0.0,,"She considered a moment, and then said, No, I think not, though I am glad you ask me.",0.0,0.0,1.0,True
